class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,false
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
321            ,16102          ,2              ,8              ,595550         ,5932           ,0.2500    ,0.8000    
322            ,16102          ,2              ,7              ,595551         ,5932           ,0.2857    ,0.7778    
323            ,16102          ,1              ,8              ,595551         ,5932           ,0.1250    ,0.7778    
324            ,16102          ,1              ,5              ,595554         ,5932           ,0.2000    ,0.6667    
325            ,16102          ,0              ,6              ,595554         ,5932           ,0.0000    ,0.6667    
326            ,16102          ,0              ,5              ,595555         ,5932           ,0.0000    ,0.8000    
327            ,16102          ,0              ,4              ,595556         ,5932           ,0.0000    ,0.7500    
328            ,16102          ,0              ,3              ,595557         ,5932           ,0.0000    ,0.6667    
329            ,16102          ,0              ,3              ,595557         ,5932           ,0.0000    ,0.6667    
330            ,16102          ,0              ,3              ,595557         ,5932           ,0.0000    ,0.6667    
331            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
332            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
333            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
334            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
335            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
336            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
337            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
338            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
339            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
340            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
341            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
342            ,16102          ,0              ,2              ,595558         ,5932           ,0.0000    ,0.5000    
343            ,16102          ,0              ,1              ,595559         ,5932           ,0.0000    ,0.0000    
344            ,16102          ,0              ,1              ,595559         ,5932           ,0.0000    ,0.0000    
345            ,16102          ,0              ,0              ,595560         ,5932           ,0.0000    ,0.0000    
