class edu.neu.info6205.model.Virus
name,SARS
R,0.0
superSpreaderRate,0.01
infectiousRadius,100.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
529            ,118694         ,39             ,119            ,493743         ,4999           ,0.3277    ,0.7975    
530            ,118694         ,38             ,104            ,493759         ,4999           ,0.3654    ,0.7958    
531            ,118690         ,37             ,103            ,493765         ,4999           ,0.3592    ,0.8000    
532            ,118687         ,35             ,98             ,493775         ,4999           ,0.3571    ,0.7970    
533            ,118686         ,32             ,96             ,493781         ,4999           ,0.3333    ,0.7969    
534            ,118683         ,30             ,99             ,493783         ,4999           ,0.3030    ,0.7984    
535            ,118682         ,30             ,92             ,493791         ,4999           ,0.3261    ,0.7951    
536            ,118682         ,27             ,90             ,493796         ,4999           ,0.3000    ,0.7949    
537            ,118679         ,29             ,84             ,493803         ,4999           ,0.3452    ,0.7965    
538            ,118677         ,29             ,82             ,493807         ,4999           ,0.3537    ,0.7928    
539            ,118677         ,27             ,80             ,493811         ,4999           ,0.3375    ,0.7944    
540            ,118676         ,24             ,77             ,493818         ,4999           ,0.3117    ,0.7921    
541            ,118675         ,20             ,80             ,493820         ,4999           ,0.2500    ,0.8000    
542            ,118673         ,22             ,76             ,493824         ,4999           ,0.2895    ,0.7959    
543            ,118671         ,23             ,73             ,493828         ,4999           ,0.3151    ,0.7917    
544            ,118668         ,26             ,70             ,493831         ,4999           ,0.3714    ,0.7917    
545            ,118666         ,24             ,67             ,493838         ,4999           ,0.3582    ,0.7912    
546            ,118666         ,21             ,61             ,493847         ,4999           ,0.3443    ,0.7927    
547            ,118665         ,21             ,60             ,493849         ,4999           ,0.3500    ,0.7901    
548            ,118662         ,21             ,56             ,493856         ,4999           ,0.3750    ,0.7922    
549            ,118661         ,21             ,51             ,493862         ,4999           ,0.4118    ,0.7917    
550            ,118661         ,21             ,50             ,493863         ,4999           ,0.4200    ,0.7887    
551            ,118661         ,18             ,48             ,493868         ,4999           ,0.3750    ,0.7879    
552            ,118660         ,17             ,45             ,493873         ,4999           ,0.3778    ,0.7903    
553            ,118658         ,19             ,41             ,493877         ,4999           ,0.4634    ,0.8000    
554            ,118658         ,18             ,37             ,493882         ,4999           ,0.4865    ,0.8000    
555            ,118657         ,18             ,37             ,493883         ,4999           ,0.4865    ,0.8000    
556            ,118657         ,16             ,36             ,493886         ,4999           ,0.4444    ,0.7885    
557            ,118657         ,14             ,37             ,493887         ,4999           ,0.3784    ,0.7843    
558            ,118656         ,12             ,38             ,493889         ,4999           ,0.3158    ,0.8000    
559            ,118655         ,11             ,38             ,493891         ,4999           ,0.2895    ,0.7959    
560            ,118654         ,12             ,34             ,493895         ,4999           ,0.3529    ,0.7826    
561            ,118654         ,11             ,30             ,493900         ,4999           ,0.3667    ,0.7805    
562            ,118652         ,10             ,33             ,493900         ,4999           ,0.3030    ,0.7907    
563            ,118652         ,9              ,33             ,493901         ,4999           ,0.2727    ,0.7857    
564            ,118652         ,9              ,33             ,493901         ,4999           ,0.2727    ,0.7857    
565            ,118651         ,10             ,29             ,493904         ,5000           ,0.3448    ,0.7949    
566            ,118651         ,9              ,27             ,493907         ,5000           ,0.3333    ,0.7778    
567            ,118650         ,8              ,28             ,493908         ,5000           ,0.2857    ,0.7778    
568            ,118650         ,8              ,25             ,493911         ,5000           ,0.3200    ,0.7879    
569            ,118650         ,7              ,25             ,493912         ,5000           ,0.2800    ,0.7813    
570            ,118650         ,7              ,25             ,493912         ,5000           ,0.2800    ,0.7813    
571            ,118650         ,7              ,22             ,493915         ,5000           ,0.3182    ,0.7931    
